CMDLINE /usr/bin/python3 test.py
MEM 1.132812 1627511673.7815
MEM 19.171875 1627511673.8819
MEM 29.828125 1627511673.9823
MEM 36.011719 1627511674.0827
MEM 42.089844 1627511674.1832
MEM 51.863281 1627511674.2836
MEM 54.929688 1627511674.3840
MEM 54.929688 1627511674.4844
MEM 54.929688 1627511674.5848
MEM 54.929688 1627511674.6853
MEM 54.929688 1627511674.7857
MEM 54.929688 1627511674.8860
MEM 54.929688 1627511674.9864
MEM 54.929688 1627511675.0868
MEM 54.929688 1627511675.1872
MEM 54.929688 1627511675.2876
MEM 54.929688 1627511675.3880
MEM 54.929688 1627511675.4883
MEM 54.929688 1627511675.5887
MEM 54.929688 1627511675.6890
MEM 54.929688 1627511675.7894
MEM 54.929688 1627511675.8898
MEM 54.929688 1627511675.9901
MEM 54.929688 1627511676.0905
MEM 54.929688 1627511676.1908
MEM 54.929688 1627511676.2911
MEM 54.929688 1627511676.3914
MEM 54.929688 1627511676.4918
MEM 54.929688 1627511676.5922
MEM 54.929688 1627511676.6925
MEM 54.929688 1627511676.7928
MEM 54.929688 1627511676.8932
MEM 54.929688 1627511676.9935
MEM 54.929688 1627511677.0938
MEM 54.929688 1627511677.1942
MEM 54.929688 1627511677.2945
MEM 54.929688 1627511677.3948
MEM 54.929688 1627511677.4952
MEM 54.929688 1627511677.5955
MEM 54.929688 1627511677.6959
MEM 54.929688 1627511677.7962
MEM 55.804688 1627511677.8965
MEM 56.062500 1627511677.9968
MEM 56.359375 1627511678.0972
MEM 56.359375 1627511678.1975
MEM 56.359375 1627511678.2979
MEM 56.359375 1627511678.3983
MEM 56.359375 1627511678.4986
MEM 56.359375 1627511678.5990
MEM 56.359375 1627511678.6993
MEM 56.359375 1627511678.7997
MEM 56.359375 1627511678.9002
MEM 56.359375 1627511679.0006
MEM 56.359375 1627511679.1010
MEM 56.359375 1627511679.2013
MEM 56.359375 1627511679.3017
MEM 56.359375 1627511679.4020
MEM 56.359375 1627511679.5024
MEM 56.359375 1627511679.6027
MEM 56.359375 1627511679.7031
MEM 56.359375 1627511679.8034
MEM 56.359375 1627511679.9037
MEM 56.359375 1627511680.0040
MEM 56.359375 1627511680.1044
MEM 56.359375 1627511680.2048
MEM 56.359375 1627511680.3051
MEM 56.359375 1627511680.4054
MEM 56.359375 1627511680.5058
MEM 56.359375 1627511680.6061
MEM 56.359375 1627511680.7065
MEM 56.359375 1627511680.8068
MEM 56.359375 1627511680.9071
MEM 56.359375 1627511681.0074
MEM 56.359375 1627511681.1077
MEM 56.359375 1627511681.2081
MEM 56.359375 1627511681.3084
MEM 56.359375 1627511681.4088
MEM 56.359375 1627511681.5092
MEM 56.359375 1627511681.6095
MEM 56.359375 1627511681.7098
MEM 56.359375 1627511681.8102
MEM 56.359375 1627511681.9106
MEM 56.359375 1627511682.0110
MEM 56.359375 1627511682.1113
MEM 56.359375 1627511682.2117
MEM 56.359375 1627511682.3120
MEM 56.359375 1627511682.4123
MEM 56.359375 1627511682.5127
MEM 56.359375 1627511682.6130
MEM 56.359375 1627511682.7134
MEM 56.359375 1627511682.8137
MEM 56.359375 1627511682.9141
FUNC __main__.function_timer 53.8398 1627511674.2919 54.9297 1627511675.0728 0
FUNC __main__.function_timer 54.9297 1627511675.0729 54.9297 1627511675.9225 0
FUNC __main__.function_timer 54.9297 1627511675.9226 54.9297 1627511677.8458 0
FUNC __main__.function_timer 54.9297 1627511677.8459 56.3594 1627511678.7979 0
FUNC __main__.function_timer 56.3594 1627511678.7980 56.3594 1627511680.6294 0
FUNC __main__.function_timer 56.3594 1627511680.6295 56.3594 1627511682.9550 0
